t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
9.9000000,1.5719548,-0.3621113,1.5719548,-0.3621113,1.4719353,-0.6176974,7.3445206
10.0000000,1.5719548,-0.1654785,1.5719548,-0.1654785,1.4993056,-0.4929699,7.4550712
10.1500000,1.5907641,-0.1077351,1.5907641,-0.1077351,1.5324844,-0.3507667,7.5244062
10.3000000,1.5719548,-0.1077351,1.5719548,-0.1077351,1.5521330,-0.2570452,7.5605188
10.4000000,1.5415480,-0.2517687,1.5415480,-0.2517687,1.5576244,-0.2156427,7.5821530
10.5000000,1.5415480,-0.2517687,1.5415480,-0.2517687,1.5531627,-0.2256696,7.5875537
10.6500000,1.5415480,-0.4672808,1.5415480,-0.4672808,1.5486296,-0.2957195,7.5385241
10.7500000,1.4606519,-0.4672808,1.4606519,-0.4672808,1.5241993,-0.3643893,7.5442053
10.9000000,1.3699135,-0.6387227,1.3699135,-0.6387227,1.4860142,-0.4299945,7.6033187
11.0500000,1.2875905,-0.6387227,1.2875905,-0.6387227,1.4287055,-0.5114056,7.7296538
11.1500000,1.2263099,-0.8266072,1.2263099,-0.8266072,1.3802684,-0.5763969,7.8729951
11.2500000,1.2263099,-1.0506984,1.2263099,-1.0506984,1.3376868,-0.6474811,8.0278725
11.4000000,1.2263099,-1.0506984,1.2263099,-1.0506984,1.2956223,-0.8060020,8.2960342
11.5500000,1.2263099,-1.2058527,1.2263099,-1.2058527,1.2713362,-0.9470909,8.6086155
11.6500000,1.2263099,-1.3093054,1.2263099,-1.3093054,1.2619861,-1.0370922,8.8485855
11.8000000,0.7667348,-1.3519954,0.7667348,-1.3519954,1.1321098,-1.1579364,9.3612344
11.9000000,0.6320805,-1.4063236,0.6320805,-1.4063236,1.0134976,-1.2198623,9.5691441
12.0000000,0.6320805,-1.4063236,0.6320805,-1.4063236,0.9084638,-1.2714528,9.6778099
12.1500000,0.4440281,-1.4673392,0.4440281,-1.4673392,0.7498442,-1.3403656,9.7500933
12.2500000,0.4440281,-1.5317496,0.4440281,-1.5317496,0.6529285,-1.3961030,9.8177202
12.4000000,0.1994740,-1.5317496,0.1994740,-1.5317496,0.5046356,-1.4543942,9.8006624
12.5500000,-0.0000000,-1.5616495,-0.0000000,-1.5616495,0.3571524,-1.4886603,9.7363619
12.6500000,-0.1497780,-1.5730678,-0.1497780,-1.5730678,0.2581191,-1.5088913,9.7024314
12.7500000,-0.1497780,-1.5730678,-0.1497780,-1.5730678,0.1450464,-1.5266685,9.6604713
12.9000000,-0.2982266,-1.5682133,-0.2982266,-1.5682133,-0.0097535,-1.5431919,9.6025022
13.0500000,-0.4440281,-1.5482841,-0.4440281,-1.5482841,-0.1613167,-1.5472854,9.5364548
13.1500000,-0.4440281,-1.4969099,-0.4440281,-1.4969099,-0.2395382,-1.5398363,9.4844854
13.2500000,-0.4440281,-1.4377882,-0.4440281,-1.4377882,-0.2961214,-1.5279177,9.4359298
13.4000000,-0.4440281,-1.3672893,-0.4440281,-1.3672893,-0.3526778,-1.4931576,9.3252640
