t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
6.5500000,-0.9354893,-1.2875905,-1.2381660,-0.5759125,-1.1564751,-1.0486890,5.2745890
6.6500000,-0.8101646,-1.3699135,-1.1739658,-0.6950126,-1.0952512,-1.1148328,5.3256778
6.8000000,-0.6776488,-1.4400770,-1.0995182,-0.8067723,-0.9854754,-1.2129574,5.4199256
6.9000000,-0.6776488,-1.4400770,-1.0995182,-0.8067723,-0.9003023,-1.2757083,5.4928978
7.0500000,-0.5391181,-1.4974583,-1.0154582,-0.9103752,-0.7762520,-1.3547725,5.5871456
7.1500000,-0.3958022,-1.5415480,-0.9225098,-1.0050511,-0.6892152,-1.4007732,5.6515802
7.3000000,-0.2489732,-1.5719548,-0.7356034,-1.0050511,-0.5543320,-1.4594174,5.7458280
7.4000000,-0.0999342,-1.5884089,-0.5592052,-1.0050511,-0.4697524,-1.4905569,5.7969167
7.5500000,0.0499918,-1.5907641,-0.5592052,-1.1675865,-0.3273939,-1.5281494,5.8911645
7.6500000,0.0499918,-1.5907641,-0.5592052,-1.1675865,-0.2230158,-1.5453931,5.9641367
7.8000000,0.1994740,-1.5789996,-0.4454033,-1.2292984,-0.0765917,-1.5595222,6.0583845
7.9000000,0.3471858,-1.5532198,-0.4454033,-1.3191866,0.0218425,-1.5609952,6.1228191
8.0500000,0.4918158,-1.5136535,-0.3048204,-1.3483566,0.1686482,-1.5520119,6.2170669
8.1500000,0.6320805,-1.4606519,-0.1642853,-1.3652009,0.2581462,-1.5413591,6.2681556
8.3000000,0.7667348,-1.3946854,-0.0246323,-1.3696236,0.4020552,-1.5102248,6.3624034
8.4000000,0.7667348,-1.3946854,-0.0246323,-1.3696236,0.5028852,-1.4782024,6.4353756
8.5500000,0.8945835,-1.3163396,0.1132501,-1.3616310,0.6397645,-1.4243164,6.5296234
8.6500000,1.0144918,-1.2263099,0.2484363,-1.3413328,0.7281388,-1.3809406,6.5940580
8.8000000,1.1253954,-1.1253954,0.3799802,-1.3089422,0.8548653,-1.3062881,6.6883058
8.9000000,1.2263099,-1.0144918,0.5069297,-1.2647746,0.9297723,-1.2561651,6.7393945
9.0500000,1.3163396,-0.8945835,0.6283411,-1.2092460,1.0438616,-1.1630909,6.8336423
9.1500000,1.3163396,-0.8945835,0.6283411,-1.2092460,1.1191639,-1.0887829,6.9066145
9.3000000,1.3946854,-0.7667348,0.7432928,-1.1428693,1.2166605,-0.9786282,7.0008623
9.4000000,1.4606519,-0.6320805,0.8508966,-1.0662510,1.2757104,-0.8998590,7.0652969
9.5500000,1.5136535,-0.4918158,0.9503102,-0.9800857,1.3547329,-0.7758104,7.1595447
9.6500000,1.5532198,-0.3471858,1.0407466,-0.8851507,1.3987202,-0.6971435,7.2106334
9.8000000,1.5789996,-0.1994740,1.1214846,-0.7822992,1.4581197,-0.5624183,7.3048812
9.9000000,1.5789996,-0.1994740,1.1214846,-0.7822992,1.4914794,-0.4620229,7.3778534
10.0500000,1.5907641,-0.0499918,1.1918765,-0.6724531,1.5283403,-0.3196118,7.4721012
10.1500000,1.5884089,-0.0999342,1.2513563,-0.5865753,1.5452852,-0.2523461,7.5012750
10.3000000,1.5719548,-0.2489732,1.2994461,-0.5359350,1.5594459,-0.2159220,7.4986828
10.4000000,1.5415480,-0.3958022,1.3357614,-0.5149150,1.5629056,-0.2251238,7.4770688
10.5500000,1.4974583,-0.5391181,1.3600159,-0.5185455,1.5546059,-0.2911208,7.4178288
10.6500000,1.4974583,-0.5391181,1.3600159,-0.5185455,1.5386653,-0.3601063,7.3660387
10.8000000,1.4400770,-0.6776488,1.3720251,-0.5424110,1.5066799,-0.4679001,7.2812354
10.9000000,1.3699135,-0.8101646,1.3717083,-0.5825740,1.4775047,-0.5462276,7.2166966
11.0500000,1.2875905,-0.9354893,1.3590907,-0.6355113,1.4232919,-0.6672917,7.1055676
11.1500000,1.1938388,-1.0525105,1.3343029,-0.6980612,1.3853070,-0.7420453,7.0236694
11.3000000,1.0894906,-1.1601896,1.2975810,-0.7673805,1.3106863,-0.8624302,6.8752232
11.4000000,1.0894906,-1.1601896,1.2975810,-0.7673805,1.2483976,-0.9455998,6.7517827
11.5500000,0.9754719,-1.2575708,1.2492647,-0.8409090,1.1534801,-1.0561661,6.5349344
11.6500000,0.8527948,-1.3437896,1.1897942,-0.9163411,1.0834117,-1.1253753,6.3569285
