t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
11.5000000,1.0894906,-1.2009910,1.0894906,-1.2009910,1.2185108,-0.9065729,8.9572857
11.6500000,0.8945835,-1.2586653,0.8945835,-1.2586653,1.1248770,-1.0386503,9.4543064
11.8000000,0.7225483,-1.3383731,0.7225483,-1.3383731,1.0131643,-1.1350633,9.7204473
11.9000000,0.7225483,-1.4300822,0.7225483,-1.4300822,0.9202196,-1.2093457,9.8559613
12.0500000,0.4918158,-1.4718678,0.4918158,-1.4718678,0.8098897,-1.3005058,9.9498033
12.1500000,0.4918158,-1.4718678,0.4918158,-1.4718678,0.7216296,-1.3480557,9.9403468
12.3000000,0.3471858,-1.4718678,0.3471858,-1.4718678,0.5774075,-1.3956921,9.8568980
12.4000000,0.1497780,-1.5281769,0.1497780,-1.5281769,0.4840144,-1.4252313,9.8187074
12.5000000,-0.0000000,-1.5281769,-0.0000000,-1.5281769,0.3913154,-1.4537779,9.7904338
12.6500000,-0.1497780,-1.5563315,-0.1497780,-1.5563315,0.2405540,-1.4824039,9.7141576
12.7500000,-0.1497780,-1.5563315,-0.1497780,-1.5563315,0.1323148,-1.5028967,9.6800744
12.9000000,-0.1497780,-1.5680490,-0.1497780,-1.5680490,0.0234658,-1.5280364,9.6707753
13.0000000,-0.3958022,-1.5547985,-0.3958022,-1.5547985,-0.0926045,-1.5354006,9.6070508
13.1500000,-0.5391181,-1.5261284,-0.5391181,-1.5261284,-0.2490425,-1.5348825,9.5238277
13.3000000,-0.6776488,-1.4831027,-0.6776488,-1.4831027,-0.3990533,-1.5195438,9.4365931
13.4000000,-0.8527948,-1.4134462,-0.8527948,-1.4134462,-0.4762815,-1.5094315,9.4021946
13.5000000,-0.8527948,-1.4134462,-0.8527948,-1.4134462,-0.5803849,-1.4828150,9.3283688
13.6500000,-0.9354893,-1.4134462,-0.9354893,-1.4134462,-0.7083757,-1.4560554,9.2884289
13.7500000,-1.0525105,-1.3036425,-1.0525105,-1.3036425,-0.8033382,-1.4138530,9.2000976
13.9000000,-1.1938388,-1.1780765,-1.1938388,-1.1780765,-0.9201187,-1.3526535,9.0989603
14.0500000,-1.2875905,-1.0567829,-1.2875905,-1.0567829,-1.0390858,-1.2673909,8.9737091
14.1500000,-1.2875905,-0.8718192,-1.2875905,-0.8718192,-1.1077470,-1.2091022,8.9040613
14.2500000,-1.2875905,-0.7598660,-1.2875905,-0.7598660,-1.1559175,-1.1166649,8.7306351
14.4000000,-1.2875905,-0.7598660,-1.2875905,-0.7598660,-1.2053744,-0.9803196,8.5201275
14.5000000,-1.4974583,-0.6494921,-1.4974583,-0.6494921,-1.2595131,-0.9027940,8.5095744
14.6500000,-1.5283549,-0.5467601,-1.5283549,-0.5467601,-1.3598769,-0.7765777,8.5133719
14.7500000,-1.5633587,-0.4224934,-1.5633587,-0.4224934,-1.4118141,-0.6942507,8.4827681
14.9000000,-1.5633587,-0.1805740,-1.5633587,-0.1805740,-1.4702482,-0.5894479,8.4408516
15.0500000,-1.5633587,-0.1805740,-1.5633587,-0.1805740,-1.5056186,-0.4326416,8.2800715
15.1500000,-1.5633587,-0.0076497,-1.5633587,-0.0076497,-1.5213624,-0.3153921,8.1770744
15.2500000,-1.5789996,0.0959122,-1.5789996,0.0959122,-1.5352957,-0.2146767,8.1197671
15.4000000,-1.5633587,0.1970694,-1.5633587,0.1970694,-1.5477573,-0.0670241,8.0422936
15.5500000,-1.5136535,0.3444426,-1.5136535,0.3444426,-1.5462679,0.0566281,7.9669527
15.6500000,-1.4606519,0.4882616,-1.4606519,0.4882616,-1.5371976,0.1362795,7.9108704
15.7500000,-1.4606519,0.6639766,-1.4606519,0.6639766,-1.5159445,0.2334868,7.8288307
15.9000000,-1.4606519,0.6639766,-1.4606519,0.6639766,-1.4946127,0.3995049,7.7815276
16.0000000,-1.3163396,0.7792801,-1.3163396,0.7792801,-1.4636247,0.4893948,7.7014093
16.1500000,-1.2263099,0.7792801,-1.2263099,0.7792801,-1.3935640,0.6000935,7.5436981
16.2500000,-1.1253954,0.9523377,-1.1253954,0.9523377,-1.3473488,0.6492708,7.4519747
16.4000000,-1.0525105,1.0730883,-1.0525105,1.0730883,-1.2509472,0.7839557,7.3533061
