t,x_ref,y_ref,y_bot_x,y_bot_y,xf,yf,theta
17.8000000,0.2489732,1.5719548,-0.5960772,1.3855203,-0.0762163,1.5592865,0.2231981
17.9000000,0.3958022,1.5415480,-0.4472953,1.4089244,0.0138463,1.5627654,0.1721094
18.0500000,0.5391181,1.4974583,-0.2993333,1.4222045,0.1608541,1.5545267,0.0778616
18.1500000,0.5391181,1.4974583,-0.2993333,1.4222045,0.2654521,1.5386718,0.0048893
18.3000000,0.6776488,1.4400770,-0.1527860,1.4248854,0.4090758,1.5068619,-0.0893585
18.4000000,0.8101646,1.3699135,-0.0083434,1.4166396,0.5031475,1.4778450,-0.1537930
18.5500000,0.9354893,1.2875905,0.1332315,1.3972822,0.6399920,1.4239359,-0.2480408
18.6500000,1.0525105,1.1938388,0.2711234,1.3667657,0.7218178,1.3861480,-0.2991296
18.8000000,1.1601896,1.0894906,0.2711234,1.2898219,0.8490624,1.3120672,-0.3933774
18.9000000,1.1601896,1.0894906,0.2711234,1.2898219,0.9350619,1.2504539,-0.4663496
19.0500000,1.2575708,0.9754719,0.2711234,1.2025897,1.0485902,1.1569073,-0.5605974
19.1500000,1.3437896,0.8527948,0.2711234,1.1055217,1.1192353,1.0883453,-0.6250319
19.3000000,1.4180809,0.7225483,0.4431670,1.0480757,1.2166904,0.9781859,-0.7192797
19.4000000,1.4797852,0.5858884,0.7308286,1.0480757,1.2724424,0.9073685,-0.7703685
19.5500000,1.5283549,0.4440281,0.8504575,0.9574685,1.3521862,0.7835942,-0.8646163
19.6500000,1.5283549,0.4440281,0.8504575,0.9574685,1.4008405,0.6896534,-0.9375885
19.8000000,1.5633587,0.2982266,0.9573927,0.8585822,1.4595256,0.5547619,-1.0318363
19.9000000,1.5844861,0.1497780,1.0514567,0.7522616,1.4913444,0.4616006,-1.0962708
